Keuwl Accelerometer Data File
2019-05-06 18-33-32

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
224.0159607,-5.639542,-21.977575,9.807847,24.718658,66.623024,255.608170
224.0258331,-5.639542,-21.195868,11.668142,24.843807,61.987774,255.100616
224.0362396,-5.596447,-16.220716,12.397177,21.168888,54.152355,250.964615
224.0462494,-5.596447,-16.220716,10.550050,20.142876,58.415138,250.964615
224.0546875,-5.596447,-16.220716,10.550050,20.142876,58.415138,250.964615
224.0563507,-1.218649,-12.720393,4.817134,13.656437,69.345169,264.527618
224.0678101,0.037110,-10.020931,-0.565032,10.036917,93.227188,270.212189
224.0760498,0.037110,-10.020931,-0.565032,10.036917,93.227188,270.212189
224.0864868,0.167594,-9.532514,-8.846576,13.006106,132.858200,271.007233
224.0959930,-1.104924,-9.720459,-8.846576,13.189772,132.122269,263.515015
224.1061554,-1.357512,-9.789890,-8.504205,13.038646,130.709991,262.105438
224.1159668,-0.389058,-10.196905,-2.876633,10.602040,105.743324,267.814972
224.1269531,1.550246,-9.343372,8.116343,12.473047,49.404800,279.420654
224.1366730,1.550246,-6.326678,7.319075,9.797907,41.668491,283.768097
224.1469421,1.771709,-2.940080,7.319075,8.084051,25.126549,301.073425
224.1562653,1.620875,-0.302867,6.793547,6.990797,13.642976,349.416107
224.1664581,0.919373,1.266533,7.467515,7.629753,11.836727,54.024181
224.1767578,-0.627281,1.628057,8.518570,8.695406,11.574898,111.071381
224.1859589,-2.225410,1.820790,10.023325,10.427597,16.006468,140.710587
224.1960907,-3.330335,2.128445,10.633847,11.344607,20.389116,147.417007
224.2062225,-3.960010,2.084153,9.525331,10.524130,25.163994,152.242172
224.2162781,-4.399345,1.381454,8.540117,9.705476,28.366350,162.567001
224.2263947,-4.475960,0.572214,8.159439,9.324060,28.943771,172.714737
224.2362366,-4.278439,-0.075417,8.103176,9.163633,27.837513,181.009872
224.2471619,-3.878607,-0.950498,7.273585,8.297715,28.767853,193.769638
224.2568512,-3.031059,-1.976413,5.371391,6.476525,33.966625,213.106506
224.2660675,-1.912967,-3.527856,0.298078,4.024185,85.752113,241.531403
224.2763062,-1.812411,-6.895301,-16.695965,18.154484,156.876526,255.273087
224.2860870,1.236605,-12.588713,-21.598093,25.029633,149.643875,275.610229
224.2959900,0.499191,-21.356279,-17.165230,27.404106,128.783127,271.339020
224.3059540,-3.051410,-26.375723,-18.277336,32.234314,124.542328,263.400787
224.3159790,-3.518279,-22.553379,-18.611326,29.451904,129.192123,261.133453
224.3262482,-1.687912,-15.641319,-13.599066,20.795059,130.840576,263.840851
224.3362122,0.131681,-9.791088,-10.219650,14.153586,136.224304,270.770538
224.3458252,2.214637,-5.234922,-8.157045,9.942153,145.129929,292.930817
224.3558807,3.535039,-1.982399,-1.860295,4.459496,114.655014,330.716919
224.3658447,2.970007,-2.074576,7.109582,7.979408,27.001940,325.065369
224.3762970,2.201468,-5.723339,15.297751,16.481028,21.843477,291.039124
224.3859558,1.623269,-10.550050,17.568651,20.557142,31.281651,278.747131
224.3958435,-0.472855,-18.516756,12.825739,22.529835,55.300106,268.537170
224.4058228,-6.120777,-28.839357,-13.198037,32.301094,114.116554,258.017517
224.4158630,-10.346542,-27.212496,-14.695610,32.611835,116.783600,249.182556
224.4258423,-8.950723,-18.472464,-4.499902,21.014196,102.364861,244.147766
224.4361725,-6.333860,-9.229648,3.268085,11.661242,73.724762,235.540070
224.4458618,-6.634333,-5.844246,6.810307,11.160192,52.393715,221.377121
224.4560242,-7.024588,-4.932055,9.066842,12.485096,43.430134,215.073196
224.4660492,-6.746861,-4.614824,10.560823,13.354689,37.740112,214.371964
224.4758606,-5.553351,-4.553771,9.762358,12.119413,36.340073,219.351898
224.4860382,-4.521450,-5.287594,7.659051,10.347136,42.250713,229.466064
224.4960022,-4.335899,-6.795941,6.198588,10.168940,52.442234,237.461594
224.5058136,-4.478354,-8.578424,5.403713,11.083552,60.820755,242.433258
224.5158386,-5.045780,-11.397597,4.977545,13.421664,68.231392,246.120758
224.5258484,-4.875792,-13.535620,5.118803,15.270511,70.414787,250.190002
224.5359497,-3.007117,-14.580688,3.547010,15.304265,76.598930,258.346710
224.5459747,-0.572214,-17.154455,0.831985,17.184149,87.224892,268.089508
224.5558472,1.544260,-17.598579,0.051475,17.666279,89.833054,275.014801
224.5658417,2.596512,-16.379930,2.185906,16.727886,82.491440,279.007446
224.5758514,3.804387,-13.765463,4.499902,14.973658,72.511086,285.449310
224.5863190,4.902128,-10.675745,5.347449,12.907269,65.524918,294.663818
224.5959473,4.349067,-7.989451,14.059950,16.745981,32.901943,298.561707
224.6058197,4.302381,-8.109161,12.826936,15.773373,35.590050,297.948547
224.6158447,5.773617,-9.834184,6.600814,13.176364,59.936554,300.417053
224.6258392,7.050924,-10.751163,0.436942,12.864445,88.053574,303.258026
224.6358643,7.163452,-9.798270,-3.779247,12.712350,107.294876,306.170288
224.6458435,6.932411,-8.001422,-6.409278,12.375779,121.190742,310.905579
224.6604767,6.211756,-6.332664,-7.997831,11.943778,132.037994,314.447784
224.6660309,4.659117,-5.870583,-9.524135,12.119416,141.800064,308.436859
224.6759949,2.473210,-7.104794,-10.540473,12.949765,144.483765,289.193237
224.6860962,0.417788,-8.933964,-9.837775,13.295567,137.725372,272.677429
224.6960144,-0.757765,-10.229227,-7.783550,12.876139,127.192444,265.763367
224.7097626,-0.940921,-10.676943,-5.408502,12.005595,116.775665,264.963745
224.7163544,-0.571017,-10.473435,-3.253720,10.982058,107.234070,266.879303
224.7262573,-0.118513,-10.346542,-1.646014,10.477325,99.038750,269.343750
224.7377777,0.169988,-10.579977,-0.391452,10.588581,92.118668,270.920502
224.7461700,0.190339,-11.174936,0.676362,11.197004,86.536903,270.975800
224.7562561,-0.181959,-12.227188,1.878251,12.371947,81.267860,269.147400
224.7662659,-1.227028,-13.759478,3.635595,14.284481,75.255234,264.904022
224.7760925,-2.442086,-14.974535,4.377798,15.791313,73.905151,260.737610
224.7859650,-1.647211,-14.947001,1.646014,15.127311,83.753235,263.711182
224.7961731,-0.347159,-14.344859,-2.172738,14.512625,98.610336,268.613647
224.8061981,-0.155623,-14.107834,-6.913258,15.711408,116.104851,269.368011
224.8158569,-0.100556,-14.556746,-13.237541,19.675911,132.281921,269.604218
224.8276215,1.058237,-14.924256,-16.092627,21.973301,137.085602,274.055908
224.8361664,2.258929,-15.164873,-14.574703,21.154152,133.549103,278.472382
224.8459778,2.877831,-15.823279,-11.496957,19.769627,125.559387,280.307892
224.8560638,3.544616,-17.387890,-8.956709,19.877768,116.781494,281.522186
224.8660889,4.944026,-19.063831,-6.454768,20.725277,108.146286,284.538818
224.8758545,5.406107,-20.222624,-2.761712,21.114157,97.515770,284.966888
224.8860168,4.845864,-20.576967,1.529895,21.195154,85.860710,283.251678
224.8958282,3.664326,-21.182699,4.759673,22.017914,77.515663,279.814270
224.9059753,2.299631,-22.039824,6.410475,23.068079,73.865463,275.956665
224.9160461,1.543063,-22.710199,7.462727,23.954676,71.848221,273.887024
224.9262695,0.769736,-23.402124,8.817844,25.020117,69.363968,271.883881
224.9364014,-1.292869,-24.350229,10.907983,26.713091,65.899498,266.960754
224.9458313,-3.804387,-24.580072,12.938266,28.036619,62.517517,261.201843
224.9560394,-4.788404,-22.190659,14.553155,26.965691,57.337360,257.823151
224.9660492,-4.748899,-18.521544,15.478514,24.600487,51.009212,255.619232
224.9764099,-4.426879,-14.311340,14.592659,20.913092,45.751137,252.811768
224.9858856,-3.478775,-11.040861,10.647015,15.727727,47.393593,252.511307
224.9959717,-2.603694,-9.612720,4.649539,10.990988,64.973839,254.844543
225.0061493,-1.878251,-9.563639,-3.757699,10.445637,111.084145,258.888824
225.0158997,-1.935712,-9.609129,-9.707291,13.795427,134.721390,258.610474
225.0260315,-2.024297,-9.458294,-10.712855,14.433376,137.921555,257.919617
225.0361023,-1.040281,-9.607931,-3.909731,10.424995,112.026436,263.820496
